"","PARID","saledate","date2","price","saleyr","SALETYPE","SALEVAL","presale","postsale","value","adj_price","lnadj_price"
"892","07K541184",2024-01-03,"01-2024",120000,2024,"2","I",2023,2025,309.794,123024.848770473,11.7201416364749
"893","07K610143",2024-03-12,"03-2024",138000,2024,"2","X",2023,2025,312.107,140430.089680783,11.8524650615776
"894","07K610275",2024-06-05,"06-2024",210000,2024,"2","X",2023,2025,313.131,212999.128160419,12.2690433515396
"895","07K610330",2024-01-30,"01-2024",80000,2024,"2","I",2023,2025,309.794,82016.5658469822,11.3146765283668
"896","07K610451",2024-08-02,"08-2024",183500,2024,"2","X",2023,2025,314.131,185528.172959689,12.1309620252911
"897","07K610682",2024-07-30,"07-2024",155000,2024,"2","I",2023,2025,313.566,156995.544797587,11.9639727068424
"898","07K610758",2024-03-06,"03-2024",160000,2024,"2","X",2023,2025,312.107,162817.495282067,12.0003851916542
"899","07K620087",2024-10-21,"10-2024",157600,2024,"2","X",2023,2025,315.564,158618.324016681,11.9742561175538
"900","07K620515",2024-11-12,"11-2024",158390,2024,"2","X",2023,2025,316.449,158967.603531691,11.9764557090692
"901","07K620582",2024-02-14,"02-2024",142000,2024,"2","X",2023,2025,311.022,145004.617036737,11.8845208625284
"902","07K620647",2024-02-27,"02-2024",154569,2024,"2","5",2023,2025,311.022,157839.567963038,11.9693344035098
"903","07K620670",2024-04-26,"04-2024",120000,2024,"2","X",2023,2025,313.016,121758.504357605,11.7097948894919
"904","07K620801",2024-04-30,"04-2024",119500,2024,"2","I",2023,2025,313.016,121251.177256115,11.7056195180814
"905","07K620922",2024-10-25,"10-2024",60000,2024,"2","I",2023,2025,315.564,60387.6868083812,11.0085405023521
"906","07K621329",2024-07-09,"07-2024",148500,2024,"2","X",2023,2025,313.566,150411.860660914,11.9211325481659
"907","07K630075",2024-06-10,"06-2024",220000,2024,"2","X",2023,2025,313.131,223141.943787105,12.3155633671745
"908","07K630206",2024-02-07,"02-2024",70000,2024,"2","I",2023,2025,311.022,71481.1492434619,11.1771890469765
"909","07K630251",2024-10-24,"10-2024",167000,2024,"2","X",2023,2025,315.564,168079.061616661,12.0321897525467
"910","07K630624",2024-02-21,"02-2024",152400,2024,"2","I",2023,2025,311.022,155624.673495766,11.9552024481797
"911","07K630624",2024-09-20,"09-2024",167000,2024,"2","X",2023,2025,314.851,168459.68728065,12.0344517555258
"912","07K630954",2024-04-10,"04-2024",203000,2024,"2","X",2023,2025,313.016,205974.803204948,12.2355091257516
"913","07K631010",2024-07-03,"07-2024",150000,2024,"2","I",2023,2025,313.566,151931.172384761,11.9311828840194
"914","07K631054",2024-01-19,"01-2024",229900,2024,"2","X",2023,2025,309.794,235695.106102765,12.370294325462
"915","07K640029",2024-02-29,"02-2024",149900,2024,"2","X",2023,2025,311.022,153071.775308499,11.9386622100357
"916","07K640371",2024-01-25,"01-2024",234500,2024,"2","X",2023,2025,309.794,240411.058638967,12.3901054815792
"917","07K640755",2024-08-23,"08-2024",195000,2024,"2","X",2023,2025,314.131,197155.279166972,12.1917469163603
"918","07K640953",2024-01-11,"01-2024",112000,2024,"2","I",2023,2025,309.794,114823.192185775,11.651148764988
"919","07K640953",2024-06-26,"06-2024",135000,2024,"2","X",2023,2025,313.131,136928.010960269,11.8272105992606
"920","07K641053",2024-04-08,"04-2024",133950,2024,"2","4",2023,2025,313.016,135912.930489176,11.8197697427004
"921","07K641206",2024-03-14,"03-2024",71000,2024,"2","I",2023,2025,312.107,72250.2635314171,11.1878912534617
"922","07K641206",2024-09-04,"09-2024",195000,2024,"2","X",2023,2025,314.851,196704.425267825,12.1894575016728
"923","07L110093",2024-06-20,"06-2024",335000,2024,"2","X",2023,2025,313.131,339784.323494001,12.7360663526472
"924","07L110466",2024-07-29,"07-2024",271000,2024,"2","X",2023,2025,313.566,274488.984775135,12.5226664108028
"925","07L120102",2024-03-08,"03-2024",275000,2024,"2","X",2023,2025,312.107,279842.570016052,12.5419824740869
"926","07L120553",2024-02-15,"02-2024",290000,2024,"2","X",2023,2025,311.022,296136.189722913,12.5985747279077
"927","07L140188",2024-09-17,"09-2024",352000,2024,"2","X",2023,2025,314.851,355076.706124484,12.7800891187071
"928","07L210094",2024-06-07,"06-2024",186500,2024,"2","X",2023,2025,313.131,189163.511437705,12.150367059906
"929","07L210182",2024-05-16,"05-2024",195000,2024,"2","X",2023,2025,313.14,197779.220157118,12.1949066378347
"930","07L210270",2024-07-16,"07-2024",259000,2024,"2","X",2023,2025,313.566,262334.490984354,12.4773756516227
"931","07L210368",2024-07-23,"07-2024",370000,2024,"2","X",2023,2025,313.566,374763.558549077,12.8340505955614
"932","07L210711",2024-05-06,"05-2024",1e+05,2024,"2","4",2023,2025,313.14,101425.241106214,11.527077265259
"933","07L210962",2024-05-06,"05-2024",115692,2024,"2","5",2023,2025,313.14,117340.889940602,11.6728385667412
"934","07L210995",2024-04-10,"04-2024",142000,2024,"2","X",2023,2025,313.016,144080.896823166,11.8781302043111
"935","07L211194",2024-06-05,"06-2024",175000,2024,"2","X",2023,2025,313.131,177499.273467015,12.0867217947457
"936","07L211424",2024-08-12,"08-2024",183700,2024,"2","X",2023,2025,314.131,185730.383502424,12.1320513500176
"937","07L220015",2024-11-06,"11-2024",188000,2024,"2","X",2023,2025,316.449,188685.582826933,12.1478373258248
"938","07L220356",2024-02-29,"02-2024",304000,2024,"2","X",2023,2025,311.022,310432.419571606,12.6457215063334
